word,score_per_email
click,0.32758531636282956
money,0.30009864897720484
free,0.2740075479005843
statements,0.25195778382321055
email,0.16576470762176776
business,0.1431155218804852
save,0.13863152797539463
adobe,0.12931377284093207
online,0.12843486104201768
investment,0.12287586047883382
report,0.11799919368461009
remove,0.11157294989673673
receive,0.10822938397272289
offer,0.10123959395101113
company,0.09618787438487525
securities,0.09532082442849595
font,0.09215878576478395
pills,0.09201769989837952
removed,0.08851099136206614
dollars,0.08478444012296504
act,0.08364758760562596
future,0.08344091130646672
viagra,0.08328206891406789
website,0.08150532918038389
advice,0.07719650883989923
products,0.07513208922656729
product,0.07450821912142547
professional,0.07132762669993974
low,0.07083778816788211
size,0.06880656238681723
grants,0.0660844748726072
account,0.06487555743412354
security,0.06260975224162249
stocks,0.0625403206012036
home,0.062058768447943335
reply,0.061144971719048175
life,0.058635406870379186
marketing,0.05843324821796954
investing,0.05644555612376439
government,0.055543645395942975
info,0.055418238421198904
offers,0.054301002637339356
mortgage,0.05396106783833647
guaranteed,0.052895724595750336
prescription,0.05261616198512839
lose,0.051818809413094385
link,0.0517884904469407
wish,0.05093931780924958
internet,0.05087358242526219
color,0.0505543998110609
easy,0.04923580260657105
mailings,0.049083434702562004
shipping,0.04818058179172866
newsletter,0.04691544743353213
cialis,0.04677242888402626
mails,0.046234224957355345
receiving,0.04535983080519057
lottery,0.04445610818696158
best,0.044003739548532955
forward,0.04391942624823304
registered,0.04368426703186647
opt,0.04325378602956155
hours,0.04300995389777729
watch,0.0424507562009171
sightings,0.04202853741887079
risks,0.04195466060731861
funds,0.04134811217447335
thousand,0.041213863174540226
emails,0.0410942059320229
pro,0.0408009937469971
computron,0.04075492341356674
removal,0.04057267139710183
thousands,0.0398296513787568
sales,0.03978179331345763
guarantee,0.03974973493251264
uncertainties,0.039034086538591625
expectations,0.03897156424026034
looking,0.03846355848704927
meds,0.03820489301246155
transaction,0.03777255180267151
sites,0.036963482339335094
nbsp,0.03690627491953273
logo,0.036729047879131546
income,0.03671015590181506
wysak,0.0362417943107221
health,0.03608261369878052
weight,0.036071331661175904
voip,0.03584293683566434
advertisement,0.03552133836758628
orders,0.03540873541838917
brand,0.03539010918499914
temple,0.03533297424081309
safe,0.03528187893131901
unsubscribe,0.034960570365706156
drugs,0.03471183405055203
kin,0.03440410258372673
biz,0.03431297657549427
prices,0.033929797992096875
differ,0.033917066442166195
ooking,0.03391684901531729
projections,0.03376025336702386
enenkio,0.03364332603938731
tablets,0.0334353451791346
featured,0.033113529284207625
penis,0.03302506071523963
mobile,0.033011121238370564
invest,0.032908423290068295
macromedia,0.03286551772521652
customer,0.03272380373680413
toner,0.03265466199885044
hello,0.03260960632404834
height,0.032500941216670395
estimates,0.03234147070226359
soft,0.03231876167582179
family,0.032257398987351346
bank,0.03163913366320367
fund,0.031626547064505614
worldwide,0.031560932473212046
wiil,0.03145514223194748
companies,0.03128929386330598
huge,0.03120203322127637
private,0.031142530740291073
winning,0.030899761584212607
photoshop,0.030885314778029416
visit,0.030795855708971948
width,0.03042953978563452
price,0.030370786219351048
corel,0.03028127883321602
million,0.03025593652604852
advertising,0.030142294759684385
php,0.029928274264739707
stop,0.029866476722571464
approved,0.02971188623299577
medications,0.02950059565293186
partner,0.029446697952940713
cash,0.029049434941441632
face,0.02895412950600234
sexual,0.02894241261469991
ebay,0.02888808006101094
growth,0.028575251142505614
align,0.02851775382023805
norton,0.028509129221897914
paid,0.028444456813616292
success,0.02802856756872718
softwares,0.0279078956675816
subscribers,0.027825539208921887
deposit,0.027708611881285324
quality,0.027641137082506623
improvement,0.027620288263549942
cartridge,0.027611591189593505
oil,0.027512492863567654
dagga,0.02735229759299781
increase,0.027293374916942947
loan,0.027258659096733494
smoking,0.027124410096800364
proven,0.02705628301747493
hundreds,0.02697385408319891
fast,0.02695696726460016
assistance,0.026911114358018722
insurance,0.026848374632838526
ragga,0.026668490153172866
rolex,0.026668490153172866
lowest,0.026560477326341654
super,0.026537695824283544
absolutely,0.026381100175990126
margin,0.02629830886363259
tabs,0.026181309060379725
nigeria,0.026101537565368173
studio,0.026064526683975776
hot,0.026053534548836393
pain,0.025819607417946974
botanical,0.025719711860141773
compliance,0.025585970189522772
guide,0.02531022462802615
quick,0.02523016323054938
websites,0.024916319653415803
aging,0.02484502780551178
oem,0.02477093356711068
country,0.024470111442372988
retail,0.024315448477181003
href,0.024198376198311843
solicitation,0.024035885866559054
medical,0.023845226678602918
ail,0.023659737417943107
promotional,0.023619924146053635
instant,0.023457651241149756
cheap,0.02336077550069055
profiled,0.02334632869450735
software,0.023304824324904105
medication,0.023218119329266197
revenues,0.023169826410269198
buy,0.023114358405258134
father,0.023087252524760567
dealer,0.023084232707414585
china,0.02300209367560378
materia,0.02283916849015317
div,0.022816386988095058
decoration,0.022460435077889064
sports,0.022377716241147826
broadcast,0.02224663200979329
